# {"t_start": 1569753756.0582826, "env_id": null} 
r,l,t
-30,201,447.141536
-50,201,447.714138
-40,201,448.286324
-20,201,448.864396
-30,201,449.441054
-30,201,450.016581
-30,201,450.589882
-20,201,451.162966
-50,201,451.735794
-40,201,452.308623
0,201,452.887915
-40,201,453.464379
-10,201,454.03504
-60,201,454.606226
-30,201,455.176613
-50,201,455.754043
-40,201,456.32898
-20,201,456.901998
-10,201,457.477665
-30,201,458.048157
-20,201,458.607713
-40,201,459.171847
-10,201,459.733838
-40,201,460.304829
-30,201,460.872791
-50,201,461.448632
0,201,462.017117
-20,201,462.590441
-50,201,463.16581
-10,201,463.734225
-30,201,464.309408
-50,201,464.886086
-30,201,465.459668
-60,201,466.033826
-20,201,466.610476
0,201,467.182589
-10,201,467.755247
-10,201,468.326189
-30,201,468.897083
-30,201,469.469333
-40,201,470.041486
-40,201,470.614696
-40,201,471.187884
-10,201,471.759404
-20,201,472.33201
-30,201,472.902862
-40,201,473.476809
-10,201,474.048454
-60,201,474.626333
-30,201,475.19628
-30,201,475.776499
-10,201,476.356708
-30,201,476.933037
-20,201,477.510557
-20,201,478.090999
0,201,478.672741
-50,201,479.2487
-30,201,479.829429
-40,201,480.406926
-70,201,480.979759
-20,201,481.549139
-30,201,482.121998
0,201,482.694825
-40,201,483.270425
-40,201,483.852062
-30,201,484.430826
-70,201,485.015407
-20,201,485.595855
-10,201,486.174591
-30,201,486.754917
-10,201,487.333767
-40,201,487.918608
-10,201,488.505759
-10,201,489.111603
-50,201,489.696127
-30,201,490.276799
-40,201,490.869069
0,201,491.451161
-10,201,492.040534
-50,201,492.622989
-20,201,493.209977
-10,201,493.792115
-20,201,494.371767
0,201,494.953228
-30,201,495.531406
-40,201,496.109249
-40,201,496.691525
-20,201,497.277644
-30,201,497.861259
-20,201,498.443917
-20,201,499.02762
-20,201,499.607945
-30,201,500.185718
-20,201,500.768442
-20,201,501.348522
-50,201,501.930907
-10,201,502.513136
-40,201,503.095316
0,201,503.675277
-30,201,504.257235
-10,201,504.838131
-30,201,505.421599
-30,201,506.009946
-30,201,506.590658
0,201,507.170118
0,201,507.749809
-20,201,508.328284
-10,201,508.908286
-30,201,509.492011
-20,201,510.076686
-30,201,510.664719
-20,201,511.237004
-60,201,511.805038
-40,201,512.373871
-60,201,512.942438
-30,201,513.517469
-20,201,514.085784
-30,201,514.651641
-40,201,515.221751
-10,201,515.78861
-20,201,516.350693
-30,201,516.920778
-40,201,517.496207
-40,201,518.069964
-20,201,518.646702
-20,201,519.220485
-30,201,519.794422
-30,201,520.370943
-30,201,520.943193
-10,201,521.519831
-50,201,522.0903
-20,201,522.657162
-40,201,523.218422
-20,201,523.786318
-20,201,524.360746
-20,201,524.92689
-40,201,525.494963
-20,201,526.060998
-30,201,526.623008
-50,201,527.183637
-20,201,527.749035
-60,201,528.318398
0,201,528.881042
0,201,529.448399
-10,201,530.017877
-10,201,530.584294
-50,201,531.152351
-30,201,531.716217
-30,201,532.284829
-30,201,532.855359
-20,201,533.422698
-30,201,533.994134
-10,201,534.565133
0,201,535.136527
-20,201,535.70947
0,201,536.2842
-10,201,536.859455
-30,201,537.431329
-30,201,538.011898
0,201,538.597558
-30,201,539.180032
-40,201,539.769841
-10,201,540.356858
-30,201,540.955604
-50,201,541.550834
-20,201,542.149345
0,201,542.740304
-40,201,543.334236
-30,201,543.927989
-30,201,544.522498
-20,201,545.120443
-40,201,545.714428
-10,201,546.319336
-20,201,546.913683
-10,201,547.511791
0,201,548.108575
-10,201,548.701685
-40,201,549.294356
-30,201,549.885359
-40,201,550.477321
-10,201,551.069987
0,201,551.664924
-10,201,552.260917
-30,201,552.854423
-30,201,553.44687
-10,201,554.038543
-30,201,554.612625
-40,201,555.174587
-30,201,555.740233
-20,201,556.312273
-20,201,556.879837
-10,201,557.451468
-30,201,558.020195
-10,201,558.584735
-10,201,559.151731
-20,201,559.714672
-30,201,560.286078
-10,201,560.854471
-20,201,561.425603
-10,201,561.996616
-30,201,562.566197
-10,201,563.125617
-40,201,563.694597
-10,201,564.264224
-40,201,564.834509
-10,201,565.402428
-60,201,565.973426
-30,201,566.541486
-60,201,567.112906
-10,201,567.680556
-10,201,568.244191
-40,201,568.8037
-30,201,569.365557
-20,201,569.928607
-20,201,570.489609
-20,201,571.070569
-30,201,571.650101
-10,201,572.222366
-30,201,572.804382
0,201,573.391239
-30,201,573.980171
-20,201,574.563377
-50,201,575.144569
-30,201,575.721949
-50,201,576.311635
-20,201,576.894079
-20,201,577.504885
-30,201,578.115644
-10,201,578.703671
-10,201,579.302175
-40,201,579.891358
-30,201,580.475422
0,201,581.068977
-30,201,581.657031
-40,201,582.242695
-10,201,582.828917
-50,201,583.424223
-10,201,584.011506
-20,201,584.60862
-20,201,585.21263
-30,201,585.796835
-50,201,586.378908
-40,201,586.978531
-20,201,587.56716
-20,201,588.142341
-30,201,588.730858
-10,201,589.326872
-20,201,589.915726
-40,201,590.511375
-40,201,591.100374
-50,201,591.679623
-40,201,592.261558
-40,201,592.844915
-20,201,593.427366
-10,201,594.012465
-40,201,594.603274
-10,201,595.19321
-40,201,595.777149
-20,201,596.368383
-50,201,596.952846
-10,201,597.536041
-30,201,598.128128
-20,201,598.712312
-20,201,599.300089
-30,201,599.903944
-40,201,600.490202
-20,201,601.072783
-20,201,601.667454
-30,201,602.253652
-10,201,602.836532
-10,201,603.413053
-20,201,603.99598
-30,201,604.587787
-30,201,605.17749
-10,201,605.779134
-20,201,606.352537
-20,201,606.9771
-40,201,607.582245
-10,201,608.216359
-20,201,608.793734
-20,201,609.382521
-10,201,609.963395
-10,201,610.545881
-40,201,611.132666
-10,201,611.713612
-30,201,612.295927
-20,201,612.877809
-30,201,613.475812
-10,201,614.065343
-40,201,614.640317
-40,201,615.217651
-20,201,615.800796
-20,201,616.40626
-40,201,617.008599
-10,201,617.609062
-20,201,618.217892
-50,201,618.831627
-20,201,619.433173
-20,201,620.022851
-20,201,620.617128
-40,201,621.211207
-30,201,621.801227
-20,201,622.395261
-40,201,622.984642
-40,201,623.572431
-20,201,624.169667
-20,201,624.753145
-20,201,625.34084
-10,201,625.931417
-40,201,626.526547
-20,201,627.124451
-10,201,627.743791
-20,201,628.32711
0,201,628.913574
-30,201,629.487753
-40,201,630.062951
-20,201,630.650867
-40,201,631.220263
-30,201,631.790765
-20,201,632.372389
-10,201,632.945719
-10,201,633.521038
-30,201,634.091538
-10,201,634.661539
-20,201,635.239838
0,201,635.83292
-10,201,636.421682
-50,201,637.014442
-30,201,637.595962
10,201,638.183728
-20,201,638.778351
-20,201,639.355406
-40,201,639.924979
-20,201,640.506732
-30,201,641.125061
-10,201,641.695415
-30,201,642.258857
-30,201,642.822501
-20,201,643.409143
-30,201,644.030855
-10,201,644.658869
-30,201,645.275143
-30,201,645.853225
-30,201,646.431161
-10,201,647.012306
-10,201,647.592057
-20,201,648.182213
-20,201,648.82414
-30,201,649.465121
-30,201,650.055758
-60,201,650.666991
-20,201,651.273035
-60,201,651.88521
-20,201,652.493819
0,201,653.090861
-20,201,653.681515
-40,201,654.28574
-30,201,654.897487
-20,201,655.492909
-30,201,656.096899
-20,201,656.697778
-30,201,657.307525
-20,201,657.913793
-20,201,658.507401
-20,201,659.132003
-30,201,659.754476
-30,201,660.373319
-20,201,660.960254
-10,201,661.543533
-20,201,662.126266
-10,201,662.71497
-10,201,663.291714
-40,201,663.870828
-20,201,664.446277
-20,201,665.019871
-40,201,665.595078
-20,201,666.16582
-40,201,666.741671
-40,201,667.313024
-40,201,667.880085
-20,201,668.455324
0,201,669.028256
-40,201,669.599295
-50,201,670.178213
-20,201,670.78008
-20,201,671.405996
-30,201,672.017175
-70,201,672.616796
-30,201,673.22878
-10,201,673.834108
-20,201,674.409677
-30,201,674.986255
-20,201,675.572986
-20,201,676.141106
-20,201,676.714541
-30,201,677.302891
-10,201,677.89498
-20,201,678.470889
-30,201,679.043257
-50,201,679.63553
-40,201,680.228958
-20,201,680.843804
-10,201,681.432512
-20,201,682.036187
-20,201,682.610214
-40,201,683.189317
-10,201,683.767349
-20,201,684.349523
-30,201,684.953523
-30,201,685.533581
-50,201,686.106987
-30,201,686.699411
-20,201,687.312956
-20,201,687.941874
-10,201,688.558081
0,201,689.172995
-10,201,689.803856
-20,201,690.456317
-70,201,691.05959
0,201,691.668463
-10,201,692.269311
-30,201,692.892993
-30,201,693.515286
-50,201,694.123217
-10,201,694.712821
-40,201,695.297198
-10,201,695.883929
-50,201,696.464833
-40,201,697.034038
-10,201,697.60581
-30,201,698.180581
-20,201,698.759966
-10,201,699.344803
-20,201,699.925627
-20,201,700.506519
-20,201,701.089922
-50,201,701.686514
-30,201,702.284281
-20,201,702.881342
-20,201,703.470947
-40,201,704.06673
-40,201,704.657624
-50,201,705.246569
-10,201,705.835198
-30,201,706.411994
-20,201,707.026837
-20,201,707.619765
-30,201,708.188712
-30,201,708.766604
-20,201,709.357416
-70,201,709.929872
-10,201,710.50832
-30,201,711.080807
-30,201,711.656378
-20,201,712.218744
-30,201,712.780663
-30,201,713.343545
-40,201,713.904766
-50,201,714.47716
-10,201,715.072867
-20,201,715.641064
-20,201,716.220171
-10,201,716.799583
-10,201,717.387519
-20,201,717.977956
0,201,718.558374
-30,201,719.16558
-40,201,719.764762
-20,201,720.365967
-40,201,720.96477
-20,201,721.564165
-30,201,722.173751
-40,201,722.770607
-40,201,723.361434
-20,201,723.942933
0,201,724.527384
-40,201,725.111071
-40,201,725.690658
-30,201,726.274473
0,201,726.847512
-20,201,727.420552
-20,201,727.993897
-40,201,728.560903
-10,201,729.143337
-40,201,729.735304
-20,201,730.31919
-50,201,730.897014
-30,201,731.476768
-40,201,732.062778
-20,201,732.657839
-20,201,733.244564
-20,201,733.829268
0,201,734.408535
-20,201,735.017005
-20,201,735.603244
-40,201,736.192474
-10,201,736.764955
-20,201,737.35499
0,201,737.935094
-30,201,738.527018
-40,201,739.111528
-20,201,739.715729
-30,201,740.316508
-10,201,740.905497
-30,201,741.484198
-40,201,742.062001
-20,201,742.64657
-20,201,743.231736
-30,201,743.824098
-30,201,744.496023
-30,201,745.073646
-40,201,745.652667
-20,201,746.258596
-50,201,746.847961
-40,201,747.483681
-40,201,748.070498
-30,201,748.660085
0,201,749.25565
-20,201,749.848798
-30,201,750.473864
-40,201,751.047947
-30,201,751.636906
-20,201,752.229994
-30,201,752.817495
-30,201,753.40353
-30,201,754.00969
-20,201,754.613898
-20,201,755.193124
-20,201,755.784568
-10,201,756.384303
-10,201,756.993615
-10,201,757.609785
-40,201,758.226419
0,201,758.835617
-10,201,759.410121
-10,201,760.012684
-30,201,760.615724
-50,201,761.210284
-20,201,761.812656
-20,201,762.491766
-20,201,763.082781
0,201,763.699569
-20,201,764.317081
-10,201,764.911455
-50,201,765.520048
-20,201,766.133641
-10,201,766.772218
-30,201,767.416846
-10,201,768.05168
-30,201,768.661083
-20,201,769.263836
-50,201,769.860486
-40,201,770.440093
-60,201,771.034842
-10,201,771.638167
-20,201,772.251784
-40,201,772.841421
-20,201,773.423584
-10,201,774.002758
-30,201,774.579139
-10,201,775.169916
-20,201,775.756449
-10,201,776.33602
-30,201,776.926721
-40,201,777.495103
-10,201,778.096842
-50,201,778.693631
-20,201,779.273763
-20,201,779.855787
-40,201,780.432441
-20,201,781.027309
-20,201,781.621908
-20,201,782.209916
-20,201,782.789444
0,201,783.3829
-20,201,783.961157
-30,201,784.56575
-20,201,785.153766
-20,201,785.748196
-20,201,786.324768
-40,201,786.908496
-10,201,787.484088
-30,201,788.059431
0,201,788.633139
0,201,789.224713
-30,201,789.82519
-20,201,790.431025
-30,201,791.047524
-30,201,791.649794
-40,201,792.224089
10,201,792.814052
-40,201,793.412819
-50,201,794.016494
-10,201,794.612018
-10,201,795.193611
-50,201,795.788527
-10,201,796.388299
-30,201,796.983232
-30,201,797.55628
-30,201,798.13243
-60,201,798.698069
-40,201,799.279537
-20,201,799.880907
-30,201,800.48551
-30,201,801.075441
-10,201,801.66692
-40,201,802.244914
-20,201,802.816852
-30,201,803.389739
-40,201,803.970639
-10,201,804.549851
-30,201,805.128005
-20,201,805.696036
0,201,806.267757
-10,201,806.840196
-20,201,807.419854
-30,201,807.993979
-10,201,808.563476
-50,201,809.132464
-20,201,809.696081
0,201,810.25841
-30,201,810.82036
-20,201,811.378281
-10,201,811.940506
-20,201,812.510255
-30,201,813.082192
-30,201,813.649633
-30,201,814.217017
