# {"t_start": 1569774067.8238258, "env_id": null} 
r,l,t
50,201,242.230987
50,201,242.453861
40,201,242.677271
50,201,242.901543
50,201,243.122421
50,201,243.342548
50,201,243.561525
50,201,243.829805
50,201,244.051681
50,201,244.277845
50,201,244.505778
40,201,244.728764
50,201,244.951642
50,201,245.160726
50,201,245.37973
50,201,245.619378
50,201,245.837493
20,201,246.107384
50,201,246.330766
40,201,246.550546
40,201,246.769376
50,201,247.000144
40,201,247.223659
50,201,247.45126
50,201,247.67188
40,201,247.888888
30,201,248.094326
50,201,248.352942
30,201,248.582484
40,201,248.808397
40,201,249.02844
50,201,249.242486
50,201,249.466588
50,201,249.688352
50,201,249.898216
50,201,250.115751
50,201,250.340794
50,201,250.616323
50,201,250.845853
30,201,251.064819
50,201,251.283377
40,201,251.50447
50,201,251.723896
50,201,251.939334
50,201,252.165429
50,201,252.391003
30,201,252.61004
50,201,252.895271
40,201,253.113022
50,201,253.334405
50,201,253.551069
30,201,253.771433
50,201,253.983236
50,201,254.199881
50,201,254.421868
40,201,254.643645
50,201,254.855606
50,201,255.076867
50,201,255.343008
50,201,255.558215
50,201,255.778516
50,201,256.011995
50,201,256.234149
50,201,256.455583
50,201,256.676213
50,201,256.902388
50,201,257.127535
50,201,257.363839
50,201,257.643156
40,201,257.882493
40,201,258.090699
40,201,258.295154
40,201,258.507082
50,201,258.725063
50,201,258.935068
50,201,259.148591
50,201,259.36135
50,201,259.603583
50,201,259.866894
30,201,260.08382
50,201,260.319059
50,201,260.537441
50,201,260.762297
50,201,260.983305
50,201,261.20778
40,201,261.431642
50,201,261.646964
50,201,261.85926
50,201,262.129709
50,201,262.353175
30,201,262.560471
40,201,262.773804
50,201,262.991036
50,201,263.219788
50,201,263.435042
50,201,263.65365
50,201,263.873715
50,201,264.092155
50,201,264.358791
30,201,264.570086
50,201,264.781049
50,201,265.00736
50,201,265.240762
50,201,265.455197
50,201,265.669061
50,201,265.88434
40,201,266.085517
50,201,266.298033
50,201,266.51263
40,201,266.779497
50,201,266.994879
50,201,267.212833
50,201,267.443013
50,201,267.670059
50,201,267.89822
50,201,268.121521
50,201,268.342458
50,201,268.552932
50,201,268.769464
50,201,269.045448
50,201,269.267417
40,201,269.490842
50,201,269.709747
50,201,269.923575
50,201,270.140681
50,201,270.365276
50,201,270.583249
40,201,270.801847
50,201,271.02861
40,201,271.310884
50,201,271.526177
40,201,271.754702
50,201,271.984406
50,201,272.200594
50,201,272.4275
50,201,272.657843
50,201,272.872103
50,201,273.088765
50,201,273.319102
50,201,273.586761
40,201,273.803108
50,201,274.022541
40,201,274.235971
50,201,274.442029
40,201,274.659304
50,201,274.879245
50,201,275.091782
50,201,275.305035
50,201,275.521918
50,201,275.796653
50,201,276.020493
50,201,276.232902
50,201,276.45219
50,201,276.666984
40,201,276.886755
50,201,277.099854
30,201,277.310899
50,201,277.524364
50,201,277.743053
50,201,277.957816
50,201,278.230924
40,201,278.446832
30,201,278.679659
50,201,278.894383
50,201,279.122693
50,201,279.350101
50,201,279.559259
30,201,279.779371
40,201,280.005347
40,201,280.235682
30,201,280.503095
50,201,280.723186
50,201,280.936486
50,201,281.155024
40,201,281.380431
50,201,281.599537
40,201,281.817268
50,201,282.044746
40,201,282.258228
40,201,282.476339
50,201,282.73734
40,201,282.949494
40,201,283.164437
50,201,283.377697
30,201,283.596702
40,201,283.811445
50,201,284.031878
50,201,284.242442
50,201,284.459839
50,201,284.676209
50,201,284.94827
50,201,285.165842
50,201,285.39963
30,201,285.628202
50,201,285.844776
40,201,286.062671
50,201,286.283112
50,201,286.531993
50,201,286.745398
50,201,286.949756
50,201,287.222744
50,201,287.449809
40,201,287.664853
50,201,287.895784
50,201,288.1159
50,201,288.339563
50,201,288.568609
50,201,288.78838
50,201,289.008108
50,201,289.228153
30,201,289.444557
50,201,289.70699
40,201,289.922572
50,201,290.143326
50,201,290.361377
50,201,290.589172
50,201,290.798769
40,201,291.018488
50,201,291.237089
50,201,291.447688
50,201,291.654766
50,201,291.926636
50,201,292.151195
50,201,292.368361
50,201,292.582431
50,201,292.814548
50,201,293.030536
50,201,293.250578
50,201,293.465396
50,201,293.683005
50,201,293.902563
40,201,294.183673
50,201,294.404988
50,201,294.611679
50,201,294.826203
50,201,295.048799
50,201,295.270625
50,201,295.482559
50,201,295.697755
50,201,295.922699
50,201,296.146324
50,201,296.419777
50,201,296.655359
50,201,296.891234
50,201,297.106843
50,201,297.328082
50,201,297.544083
50,201,297.760143
50,201,297.96785
50,201,298.172244
50,201,298.391757
