# {"t_start": 1569812051.8522682, "env_id": null} 
r,l,t
0,201,187.960127
0,201,188.238314
0,201,188.459819
0,201,188.670068
0,201,188.888627
0,201,189.116663
0,201,189.337518
0,201,189.557577
0,201,189.781157
0,201,189.999663
0,201,190.219832
0,201,190.441874
0,201,190.743763
0,201,191.003918
0,201,191.223668
0,201,191.44013
0,201,191.658918
0,201,191.872859
0,201,192.095363
0,201,192.319242
0,201,192.543335
0,201,192.761718
0,201,193.029507
0,201,193.256686
0,201,193.476165
0,201,193.692167
0,201,193.909911
0,201,194.134936
0,201,194.351023
0,201,194.562178
0,201,194.773299
0,201,194.988502
0,201,195.257888
0,201,195.472726
0,201,195.684369
0,201,195.91955
0,201,196.136933
0,201,196.353711
0,201,196.580954
0,201,196.806932
0,201,197.025371
0,201,197.251031
0,201,197.531022
0,201,197.757438
0,201,197.987893
0,201,198.218159
0,201,198.475402
0,201,198.725261
0,201,198.966352
0,201,199.187947
0,201,199.417391
0,201,199.626438
0,201,199.890458
0,201,200.135705
0,201,200.368086
0,201,200.590884
0,201,200.819993
0,201,201.056506
0,201,201.277383
0,201,201.500258
0,201,201.718054
0,201,201.938173
0,201,202.165068
0,201,202.436562
0,201,202.641686
0,201,202.863683
0,201,203.094076
0,201,203.314885
0,201,203.541097
0,201,203.762741
0,201,203.969843
0,201,204.180173
0,201,204.394083
0,201,204.648949
0,201,204.859008
0,201,205.069326
0,201,205.287217
0,201,205.495653
0,201,205.721112
0,201,205.944554
0,201,206.160254
0,201,206.376263
0,201,206.592376
0,201,206.854056
0,201,207.063668
0,201,207.260497
0,201,207.459904
0,201,207.675858
0,201,207.890674
0,201,208.102426
0,201,208.319925
0,201,208.538256
0,201,208.740326
0,201,208.999972
0,201,209.209913
0,201,209.424762
0,201,209.64411
0,201,209.860265
0,201,210.065219
0,201,210.275224
0,201,210.482074
0,201,210.701389
0,201,210.924656
0,201,211.197481
0,201,211.429712
0,201,211.662076
0,201,211.889227
0,201,212.114094
0,201,212.334149
0,201,212.548207
0,201,212.759919
0,201,212.965515
0,201,213.17462
0,201,213.436959
0,201,213.66327
0,201,213.886167
0,201,214.119512
0,201,214.345623
0,201,214.553703
0,201,214.767199
0,201,214.981158
0,201,215.215868
0,201,215.450665
0,201,215.6765
0,201,215.949254
0,201,216.176251
0,201,216.406929
0,201,216.639803
0,201,216.871033
0,201,217.100879
0,201,217.333529
0,201,217.567801
0,201,217.793826
0,201,218.02156
0,201,218.301244
0,201,218.523228
0,201,218.746062
0,201,218.968921
0,201,219.179278
0,201,219.392998
0,201,219.625502
0,201,219.858831
0,201,220.095715
0,201,220.327526
0,201,220.614374
0,201,220.845748
0,201,221.064943
0,201,221.284423
0,201,221.507105
0,201,221.731056
0,201,221.944322
0,201,222.164032
0,201,222.385486
0,201,222.604329
0,201,222.883181
0,201,223.105544
0,201,223.331566
0,201,223.564368
0,201,223.788927
0,201,223.996312
0,201,224.203834
0,201,224.417333
0,201,224.63667
0,201,224.867545
0,201,225.154806
0,201,225.388466
0,201,225.623289
0,201,225.845742
0,201,226.071873
0,201,226.298373
0,201,226.528642
0,201,226.761903
0,201,226.981427
0,201,227.19749
0,201,227.442421
0,201,227.752616
0,201,227.983797
0,201,228.211347
0,201,228.435587
0,201,228.658807
0,201,228.874495
0,201,229.0981
0,201,229.331526
0,201,229.568985
0,201,229.796243
0,201,230.072926
0,201,230.300483
0,201,230.527239
0,201,230.757394
0,201,230.986809
0,201,231.203972
0,201,231.433822
0,201,231.665439
0,201,231.899107
0,201,232.122701
0,201,232.384249
0,201,232.612233
0,201,232.828731
0,201,233.037385
0,201,233.246901
0,201,233.453173
0,201,233.655111
0,201,233.856516
0,201,234.071181
0,201,234.293629
0,201,234.56197
0,201,234.794945
0,201,235.001878
0,201,235.208327
0,201,235.414593
0,201,235.636419
0,201,235.856821
0,201,236.069181
0,201,236.275254
0,201,236.493881
0,201,236.7555
0,201,236.980253
0,201,237.224997
0,201,237.486413
0,201,237.710694
0,201,237.92717
0,201,238.143974
0,201,238.361084
0,201,238.574291
0,201,238.838431
0,201,239.088486
0,201,239.360886
0,201,239.580917
0,201,239.795568
0,201,240.021345
0,201,240.242628
0,201,240.464605
0,201,240.677207
0,201,240.889981
0,201,241.110243
0,201,241.324243
0,201,241.593846
0,201,241.81178
0,201,242.045005
0,201,242.269226
0,201,242.487524
0,201,242.718116
0,201,242.930142
0,201,243.151428
0,201,243.384224
0,201,243.622055
0,201,243.902716
0,201,244.130205
0,201,244.363174
0,201,244.580216
0,201,244.802854
0,201,245.022029
0,201,245.236104
0,201,245.457448
0,201,245.663861
0,201,245.883376
0,201,246.162596
0,201,246.400318
0,201,246.666496
0,201,246.890987
0,201,247.115264
0,201,247.336267
0,201,247.555515
0,201,247.779528
0,201,247.999144
0,201,248.222816
0,201,248.485001
0,201,248.69976
0,201,248.909173
0,201,249.136168
0,201,249.366592
0,201,249.594804
0,201,249.825662
0,201,250.057101
0,201,250.277992
0,201,250.507736
0,201,250.77256
0,201,250.989407
0,201,251.208512
0,201,251.439428
0,201,251.667555
0,201,251.896286
0,201,252.126573
0,201,252.349578
0,201,252.580458
0,201,252.796608
0,201,253.008216
0,201,253.278433
0,201,253.49689
0,201,253.729379
0,201,253.939932
0,201,254.159545
0,201,254.38207
0,201,254.606869
0,201,254.819884
0,201,255.04538
0,201,255.268558
0,201,255.53512
0,201,255.754182
0,201,255.968578
0,201,256.175211
0,201,256.387137
0,201,256.603069
0,201,256.824668
0,201,257.044929
0,201,257.267419
0,201,257.488077
0,201,257.758334
0,201,257.974301
0,201,258.194474
0,201,258.432247
0,201,258.654181
0,201,258.874334
0,201,259.095628
0,201,259.31684
0,201,259.558664
0,201,259.795558
0,201,260.081342
0,201,260.312483
0,201,260.535145
0,201,260.758776
0,201,260.989105
0,201,261.216976
0,201,261.465881
0,201,261.7103
0,201,261.940226
0,201,262.153695
0,201,262.424596
0,201,262.651669
0,201,262.865114
0,201,263.090976
0,201,263.330922
0,201,263.561665
0,201,263.773447
0,201,263.994952
0,201,264.22582
0,201,264.449362
0,201,264.660196
0,201,264.93194
0,201,265.147511
0,201,265.363522
0,201,265.587996
0,201,265.804739
0,201,266.031133
0,201,266.263852
0,201,266.490911
0,201,266.718727
0,201,266.953208
0,201,267.229188
0,201,267.447925
0,201,267.665114
0,201,267.894825
0,201,268.11306
0,201,268.327632
0,201,268.542673
0,201,268.765954
0,201,268.993353
0,201,269.21713
0,201,269.484197
0,201,269.716218
0,201,269.936997
0,201,270.162017
0,201,270.398224
0,201,270.633756
0,201,270.89164
0,201,271.112314
0,201,271.342909
0,201,271.574695
0,201,271.846561
0,201,272.071345
0,201,272.290269
0,201,272.50564
0,201,272.713878
0,201,272.923384
0,201,273.128514
0,201,273.338491
0,201,273.550336
0,201,273.76663
0,201,274.035544
0,201,274.252936
0,201,274.465675
0,201,274.686146
0,201,274.917975
0,201,275.141242
0,201,275.356675
0,201,275.574233
0,201,275.808493
0,201,276.044356
0,201,276.262897
0,201,276.558584
0,201,276.794965
0,201,277.029601
0,201,277.263097
0,201,277.493854
0,201,277.717102
0,201,277.93742
0,201,278.156039
0,201,278.367763
0,201,278.577096
0,201,278.84928
0,201,279.070317
0,201,279.286278
0,201,279.530055
0,201,279.777249
0,201,279.989069
0,201,280.209494
0,201,280.418937
0,201,280.648886
0,201,280.876483
0,201,281.154206
0,201,281.373106
0,201,281.603838
0,201,281.836607
0,201,282.053709
0,201,282.280497
0,201,282.497102
0,201,282.720466
0,201,282.952586
0,201,283.167852
0,201,283.464694
0,201,283.683861
0,201,283.900091
0,201,284.124174
0,201,284.351942
0,201,284.57023
0,201,284.783653
0,201,285.003091
0,201,285.21852
0,201,285.439675
0,201,285.705909
0,201,285.928232
0,201,286.146583
0,201,286.372131
0,201,286.591929
0,201,286.808112
0,201,287.04661
0,201,287.289797
0,201,287.508688
0,201,287.727452
0,201,287.951428
0,201,288.222073
0,201,288.433601
0,201,288.650841
0,201,288.874099
0,201,289.107971
0,201,289.328252
0,201,289.54941
0,201,289.770677
0,201,289.988203
0,201,290.213244
0,201,290.473444
0,201,290.693708
0,201,290.919117
0,201,291.144877
0,201,291.359936
0,201,291.57256
0,201,291.794916
0,201,292.01759
0,201,292.232308
0,201,292.456732
0,201,292.728725
0,201,292.955787
0,201,293.179204
0,201,293.40335
0,201,293.6304
0,201,293.844901
0,201,294.053843
0,201,294.265576
0,201,294.482383
0,201,294.687752
0,201,294.947361
0,201,295.162695
0,201,295.389027
0,201,295.606794
0,201,295.831258
0,201,296.065209
0,201,296.291652
0,201,296.500073
0,201,296.728578
0,201,296.954078
0,201,297.231241
0,201,297.453255
0,201,297.680136
0,201,297.907271
0,201,298.139289
0,201,298.369897
0,201,298.586997
0,201,298.810473
0,201,299.030173
0,201,299.243505
0,201,299.506569
0,201,299.727666
0,201,299.945868
0,201,300.150094
0,201,300.383395
0,201,300.599059
0,201,300.82339
0,201,301.065107
0,201,301.301256
0,201,301.537478
0,201,301.776955
0,201,302.039466
0,201,302.25967
0,201,302.471239
0,201,302.683762
0,201,302.89876
0,201,303.118785
0,201,303.344369
0,201,303.56935
0,201,303.792964
0,201,304.006296
0,201,304.269956
0,201,304.484716
0,201,304.728214
0,201,304.949488
0,201,305.17256
0,201,305.393297
0,201,305.59512
0,201,305.815599
0,201,306.035233
0,201,306.251159
0,201,306.522059
0,201,306.742604
0,201,306.953125
0,201,307.163659
0,201,307.381257
0,201,307.605388
0,201,307.822346
0,201,308.040951
0,201,308.266812
0,201,308.48122
0,201,308.742382
0,201,308.973955
0,201,309.199381
0,201,309.416249
0,201,309.635272
0,201,309.844908
0,201,310.059094
0,201,310.278689
