eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
101.0,0.0,760,2.0729456e-16,0.0,1.0439334e-05,8.1490725e-10,1.0423799e-07,-0.3481931686401367,7240,14827520,21667.93614691205,14827520
101.0,0.0,778,0.0,0.0,1.0458804e-05,-1.717126e-09,1.5230306e-09,-0.9363287687301636,7250,14848000,21694.292440893012,14848000
101.0,0.0,760,0.0,0.0,1.045527e-05,-6.024493e-09,1.431826e-09,-0.5075341463088989,7260,14868480,21720.520988174016,14868480
101.0,0.0,776,0.0,0.0,1.04409755e-05,8.556526e-09,4.898307e-07,-0.18294715881347656,7270,14888960,21747.012395063008,14888960
101.0,0.0,792,0.0,0.0,1.0559781e-05,6.024493e-09,7.494967e-10,-0.8817678689956665,7280,14909440,21773.628313645022,14909440
101.0,0.0,797,1.734697e-17,0.0,1.0646633e-05,-2.415618e-09,7.6449635e-07,-2.582904577255249,7290,14929920,21799.310123983014,14929920
101.0,0.0,777,0.0,0.0,1.07382175e-05,-5.5588316e-09,2.4696354e-09,-0.15797412395477295,7300,14950400,21825.704629693995,14950400
101.0,0.0,760,5.811146e-17,0.0,1.0521683e-05,-7.1304385e-09,5.8172706e-10,-0.7707517147064209,7310,14970880,21852.230631979008,14970880
101.0,0.0,772,6.3315475e-17,0.0,1.0699337e-05,1.4711986e-08,3.286541e-08,-0.12024307250976562,7320,14991360,21878.652628333017,14991360
101.0,0.0,771,3.556129e-17,0.0,1.0605408e-05,3.0413503e-09,1.9052722e-09,-0.7262759208679199,7330,15011840,21905.07113081601,15011840
101.0,0.0,754,3.2959243e-17,0.0,1.0522468e-05,1.2601959e-08,7.2868755e-10,-0.19297409057617188,7340,15032320,21931.72843860602,15032320
101.0,0.0,781,0.0,0.0,1.0556281e-05,-3.434252e-09,1.7127726e-09,-0.7094109058380127,7350,15052800,21957.94756805105,15052800
101.0,0.0,791,0.0,0.0,1.060996e-05,-2.7153874e-08,2.8826312e-07,-0.00514376163482666,7360,15073280,21984.148336198006,15073280
101.0,0.0,792,0.0,0.0,1.1294537e-05,1.5774276e-08,2.4067944e-08,-0.008594751358032227,7370,15093760,22010.18530712003,15093760
101.0,0.0,768,1.647937e-17,0.0,1.1122398e-05,-4.10364e-09,1.0511578e-09,-0.5871201753616333,7380,15114240,22036.470637983002,15114240
101.0,0.0,817,0.0,0.0,1.1070468e-05,-1.6734703e-09,3.509592e-08,-0.02267277240753174,7390,15134720,22062.378344723023,15134720
101.0,0.0,808,1.647937e-17,0.0,1.0627811e-05,-2.0227162e-09,4.076569e-07,-0.20758593082427979,7400,15155200,22087.984104438045,15155200
101.0,0.0,770,0.0,0.0,1.0887266e-05,-3.3702236e-08,9.5179485e-07,-0.02867257595062256,7410,15175680,22113.961275406997,15175680
