% time spent exploring,episodes,mean 100 episode reward,steps
2,32300,-1.0,6492098
2,32400,-3.5,6512198
2,32500,-0.5,6532298
2,32600,-1.6,6552398
2,32700,-0.5,6572498
2,32800,-3.9,6592598
2,32900,-1.1,6612698
2,33000,-0.6,6632798
2,33100,0.0,6652898
2,33200,-0.9,6672998
2,33300,-0.5,6693098
2,33400,-1.8,6713198
2,33500,-0.2,6733298
2,33600,-0.1,6753398
2,33700,-0.3,6773498
2,33800,-2.9,6793598
2,33900,-1.5,6813698
2,34000,-0.3,6833798
2,34100,-0.5,6853898
2,34200,-1.3,6873998
2,34300,-1.0,6894098
2,34400,-1.4,6914198
2,34500,-0.6,6934298
2,34600,-1.2,6954398
2,34700,-1.8,6974498
2,34800,-2.2,6994598
2,34900,-2.7,7014698
2,35000,-0.5,7034798
2,35100,-3.7,7054898
2,35200,-0.6,7074998
2,35300,0.1,7095098
2,35400,-0.8,7115198
2,35500,-2.0,7135298
2,35600,-0.1,7155398
2,35700,-0.8,7175498
2,35800,-0.5,7195598
2,35900,-1.7,7215698
2,36000,-0.8,7235798
2,36100,-1.1,7255898
2,36200,-1.2,7275998
2,36300,-0.9,7296098
2,36400,-1.1,7316198
2,36500,-1.3,7336298
2,36600,-1.2,7356398
2,36700,-1.1,7376498
2,36800,-1.2,7396598
2,36900,-2.1,7416698
2,37000,-0.8,7436798
2,37100,-1.3,7456898
2,37200,-1.1,7476998
2,37300,-1.5,7497098
2,37400,-1.3,7517198
2,37500,-1.3,7537298
2,37600,-0.8,7557398
2,37700,-0.5,7577498
2,37800,-1.1,7597598
2,37900,-2.1,7617698
2,38000,-1.5,7637798
2,38100,-2.3,7657898
2,38200,-1.5,7677998
2,38300,-3.2,7698098
2,38400,-1.1,7718198
2,38500,-0.8,7738298
2,38600,-1.4,7758398
2,38700,-2.0,7778498
2,38800,-1.1,7798598
2,38900,-0.6,7818698
2,39000,-0.9,7838798
2,39100,-0.9,7858898
2,39200,-1.5,7878998
2,39300,-2.6,7899098
2,39400,-1.0,7919198
2,39500,-1.6,7939298
2,39600,-0.8,7959398
2,39700,-1.1,7979498
2,39800,-1.1,7999598
2,39900,-1.9,8019698
2,40000,-1.3,8039798
2,40100,-0.8,8059898
2,40200,-0.6,8079998
2,40300,-1.4,8100098
2,40400,-0.7,8120198
2,40500,-2.2,8140298
2,40600,-1.4,8160398
2,40700,-1.2,8180498
2,40800,-0.9,8200598
2,40900,-1.2,8220698
2,41000,-1.6,8240798
2,41100,-0.2,8260898
2,41200,-2.7,8280998
2,41300,-1.2,8301098
2,41400,-1.2,8321198
2,41500,-0.8,8341298
2,41600,-0.3,8361398
2,41700,-3.5,8381498
2,41800,-1.2,8401598
2,41900,-0.5,8421698
2,42000,-1.4,8441798
2,42100,-6.0,8461898
2,42200,-0.9,8481998
2,42300,-1.4,8502098
2,42400,-0.8,8522198
2,42500,-1.0,8542298
2,42600,-0.4,8562398
2,42700,-0.3,8582498
2,42800,-1.3,8602598
2,42900,-0.6,8622698
2,43000,-1.3,8642798
2,43100,-0.4,8662898
2,43200,-1.2,8682998
2,43300,-1.8,8703098
2,43400,-2.2,8723198
2,43500,-0.6,8743298
2,43600,-1.0,8763398
2,43700,-0.9,8783498
2,43800,-0.2,8803598
2,43900,-1.9,8823698
2,44000,-1.3,8843798
2,44100,-1.1,8863898
2,44200,-1.2,8883998
2,44300,-0.9,8904098
2,44400,-0.8,8924198
2,44500,-0.8,8944298
2,44600,-1.6,8964398
2,44700,-1.9,8984498
2,44800,-0.6,9004598
2,44900,-4.5,9024698
2,45000,-0.1,9044798
2,45100,-0.9,9064898
2,45200,-0.5,9084998
2,45300,-0.7,9105098
2,45400,-1.8,9125198
2,45500,-1.6,9145298
2,45600,-1.2,9165398
2,45700,-0.4,9185498
2,45800,-1.0,9205598
2,45900,-0.7,9225698
2,46000,-0.9,9245798
2,46100,-1.3,9265898
2,46200,-0.4,9285998
2,46300,-1.8,9306098
2,46400,-2.6,9326198
2,46500,-0.6,9346298
2,46600,-1.3,9366398
2,46700,-1.2,9386498
2,46800,-0.2,9406598
2,46900,-1.0,9426698
2,47000,-1.1,9446798
2,47100,-1.4,9466898
2,47200,-1.4,9486998
2,47300,-1.6,9507098
2,47400,-4.6,9527198
2,47500,-0.8,9547298
2,47600,-0.8,9567398
2,47700,-1.1,9587498
2,47800,-4.2,9607598
2,47900,-0.5,9627698
2,48000,-1.4,9647798
2,48100,-2.3,9667898
2,48200,-1.6,9687998
2,48300,-1.3,9708098
2,48400,-1.3,9728198
2,48500,-1.1,9748298
2,48600,-0.5,9768398
2,48700,-2.9,9788498
2,48800,-1.1,9808598
2,48900,-1.9,9828698
2,49000,-1.8,9848798
2,49100,-1.2,9868898
2,49200,-1.0,9888998
2,49300,-1.3,9909098
2,49400,-1.6,9929198
2,49500,-2.7,9949298
2,49600,-1.8,9969398
2,49700,-1.4,9989498
2,49800,-0.9,10009598
2,49900,-2.4,10029698
2,50000,-1.5,10049798
2,50100,-1.7,10069898
2,50200,-1.8,10089998
2,50300,-2.3,10110098
2,50400,-2.2,10130198
2,50500,-1.6,10150298
2,50600,-0.4,10170398
2,50700,-1.2,10190498
2,50800,-1.4,10210598
2,50900,-1.1,10230698
2,51000,-1.0,10250798
2,51100,-1.3,10270898
2,51200,-3.3,10290998
2,51300,-1.3,10311098
2,51400,-0.7,10331198
2,51500,-2.8,10351298
2,51600,-1.4,10371398
2,51700,-2.2,10391498
2,51800,-1.5,10411598
2,51900,-0.8,10431698
2,52000,-4.3,10451798
2,52100,-1.1,10471898
2,52200,-1.9,10491998
2,52300,-1.8,10512098
2,52400,-0.6,10532198
2,52500,-3.2,10552298
2,52600,-0.2,10572398
2,52700,-0.6,10592498
2,52800,-2.6,10612598
2,52900,0.0,10632698
2,53000,-0.1,10652798
2,53100,-1.0,10672898
2,53200,-2.0,10692998
2,53300,-0.8,10713098
2,53400,-1.5,10733198
2,53500,-0.7,10753298
2,53600,-0.6,10773398
2,53700,-0.9,10793498
2,53800,-1.4,10813598
2,53900,-0.8,10833698
2,54000,-1.1,10853798
2,54100,-1.8,10873898
2,54200,-0.3,10893998
2,54300,-2.2,10914098
2,54400,-1.6,10934198
2,54500,-1.5,10954298
2,54600,-1.0,10974398
2,54700,-1.1,10994498
2,54800,-2.9,11014598
2,54900,-1.0,11034698
2,55000,-0.7,11054798
2,55100,-1.1,11074898
2,55200,-0.7,11094998
2,55300,-2.1,11115098
2,55400,-3.3,11135198
2,55500,-1.6,11155298
2,55600,-0.5,11175398
2,55700,-1.7,11195498
2,55800,-3.6,11215598
2,55900,-1.5,11235698
2,56000,-1.5,11255798
2,56100,-1.7,11275898
2,56200,-0.9,11295998
2,56300,-1.0,11316098
2,56400,-1.2,11336198
2,56500,-0.6,11356298
2,56600,-2.1,11376398
2,56700,-2.1,11396498
